Holding Name,Trade Good,Holding Occupied,Total Value of Holding Production,Holdings Owner,Province Location Hex ID,Province Name,Province Owner
Poland Rye Farm,Rye,FALSE,35.2,Poland,F15,Brzeziny,Poland
Poland Clothmakers,Cloth,FALSE,20,Polish Clergy (Catholic),F15,Brzeziny,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,1061,Wąsosz,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),1061,Wąsosz,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1061,Wąsosz,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Clergy (Catholic),1061,Wąsosz,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,1061,Wąsosz,Poland
Poland Oat Farm,Oats,FALSE,35.2,Poland Nobility,1061,Wąsosz,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland Nobility,1061,Wąsosz,Poland
Poland Sheep Farm,Wool,FALSE,67.2,Polish Merchants,1061,Wąsosz,Poland
Poland Barley Farm,Barley,FALSE,35.2,Polish Clergy (Catholic),1062,Radziłłów,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland,1062,Radziłłów,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland Nobility,1062,Radziłłów,Poland
Poland Rye Farm,Rye,FALSE,35.2,Polish Clergy (Catholic),1062,Radziłłów,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1062,Radziłłów,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,1062,Radziłłów,Poland
Poland Clothmakers,Cloth,FALSE,20,Poland Nobility,1062,Radziłłów,Poland
Poland Barley Farm,Barley,FALSE,70.4,Poland,1063,Wizna,Poland
Poland Barley Farm,Barley,FALSE,52.8,Poland Nobility,1063,Wizna,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,1063,Wizna,Poland
Poland Oat Farm,Oats,FALSE,52.8,Poland Nobility,1063,Wizna,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,1064,Zambrów,Poland
Poland Barley Farm,Barley,FALSE,35.2,Polish Clergy (Catholic),1064,Zambrów,Poland
Poland Wheat Farm,Wheat,FALSE,35.2,Poland Nobility,1064,Zambrów,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Polish Clergy (Catholic),1064,Zambrów,Poland
Poland Oat Farm,Oats,FALSE,35.2,Polish Merchants,1064,Zambrów,Poland
Poland Ranch,Livestock,FALSE,73.6,Poland,1064,Zambrów,Poland
Poland Barley Farm,Barley,FALSE,88,Poland,1065,Nur,Poland
Poland Wheat Farm,Wheat,FALSE,52.8,Poland,1065,Nur,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,1065,Nur,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland Nobility,1066,Ostrów,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,1066,Ostrów,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,1067,Łomża,Poland
Poland Barley Farm,Barley,FALSE,52.8,Poland,1067,Łomża,Poland
Poland Rye Farm,Rye,FALSE,88,Polish Clergy (Catholic),1067,Łomża,Poland
Poland Rye Farm,Rye,FALSE,52.8,Poland Nobility,1067,Łomża,Poland
Poland Wheat Farm,Wheat,FALSE,88,Polish Merchants,1067,Łomża,Poland
Poland Wheat Farm,Wheat,FALSE,70.4,Poland Nobility,1067,Łomża,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland,1067,Łomża,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,1068,Kolno,Poland
Poland Rye Farm,Rye,FALSE,17.6,Poland,1068,Kolno,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,1068,Kolno,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,1068,Kolno,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,1069,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),1069,,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Poland,1069,,Poland
Poland Oat Farm,Oats,FALSE,70.4,Polish Merchants,1069,,Poland
Poland Ranch,Livestock,FALSE,18.4,Polish Clergy (Catholic),1069,,Poland
Poland Barley Farm,Barley,FALSE,52.8,Polish Clergy (Catholic),106A,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,106A,,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Clergy (Catholic),106A,,Poland
Poland Wheat Farm,Wheat,FALSE,35.2,Polish Clergy (Catholic),106A,,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,106A,,Poland
Poland Sheep Farm,Wool,FALSE,134.4,Polish Merchants,106A,,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,106B,Ostrołęka,Poland
Poland Barley Farm,Barley,FALSE,70.4,Poland,106B,Ostrołęka,Poland
Poland Rye Farm,Rye,FALSE,17.6,Polish Merchants,106B,Ostrołęka,Poland
Poland Wheat Farm,Wheat,FALSE,52.8,Poland,106B,Ostrołęka,Poland
Poland Oat Farm,Oats,FALSE,35.2,Polish Merchants,106B,Ostrołęka,Poland
Poland Clothmakers,Cloth,FALSE,40,Polish Clergy (Catholic),106B,Ostrołęka,Poland
Poland Ranch,Livestock,FALSE,18.4,Polish Merchants,106B,Ostrołęka,Poland
Poland Barley Farm,Barley,FALSE,88,Polish Merchants,106C,Przasnysz,Poland
Poland Rye Farm,Rye,FALSE,35.2,Poland,106C,Przasnysz,Poland
Poland Wheat Farm,Wheat,FALSE,17.6,Polish Merchants,106C,Przasnysz,Poland
Poland Oat Farm,Oats,FALSE,17.6,Poland Nobility,106C,Przasnysz,Poland
Poland Ranch,Livestock,FALSE,18.4,Poland Nobility,106C,Przasnysz,Poland
Poland Barley Farm,Barley,FALSE,17.6,Poland,106D,,Poland
Poland Barley Farm,Barley,FALSE,35.2,Poland,106D,,Poland
Poland Oat Farm,Oats,FALSE,52.8,Poland Nobility,106D,,Poland
Poland Sheep Farm,Wool,FALSE,134.4,Polish Clergy (Catholic),106D,,Poland
Poland Ranch,Livestock,FALSE,18.4,Poland Nobility,106D,,Poland
Poland Barley Farm,Barley,FALSE,70.4,Polish Merchants,106E,Ciechanów,Poland
